"repeat","n","launch_position","requested_variant","csv_variant","sample_ms","sample_count","process_wall_ms","gpu_ms","energy_j","avg_power_w","max_power_w","joules_per_effective_gflop","max_temperature_c","avg_graphics_clock_mhz"
"0","2000","0","V1","V1","200","10","2854.9504","2243.83","78.198208","27.390391","31.84","14.662164069","71","1785"
"0","2000","1","V2","V2","200","11","3073.238","2349.46","84.981149","27.651991","32.04","15.933965494","71","1785"
"0","2000","2","V3","V3","200","4","1150.0587","440.74","27.003057","23.479721","33.7","5.063073198","71","1785"
"0","2000","3","V3f","V3f","200","3","880.7607","323.032","22.266985","25.281538","31.9","4.17505964","71","1770"
"0","2000","4","V4","V4","200","2","597.9944","23.0404","11.031609","18.447679","18.83","2.068426655","70","1785"
"0","2000","5","V5a","V5a_t32x32","200","4","1080.059","443.262","25.110392","23.249093","33.43","4.708198554","71","1785"
"0","2000","6","V5af","V5af_t32x32","200","3","819.527","393.399","21.460105","26.185964","34.73","4.023769658","71","1735"
"0","2000","7","V5bf","V5bf_t32x32","200","4","1080.6589","468.085","25.001431","23.135358","35.64","4.687768244","71","1781.25"
"0","2000","8","VLU","VLU","200","3","806.5404","367.485","20.82574","25.821075","33.93","3.904826317","71","1770"
"0","2000","9","V6a","V6a_b64","200","2","626.3963","114.341","11.619331","18.549489","18.83","2.178624593","70","1785"
"0","2000","10","V6b","V6b_b64","200","2","574.6251","91.0234","10.725661","18.665493","19.02","2.011061351","70","1785"
"0","2000","11","V6c","V6c_b64","200","2","582.1701","75.5377","10.760718","18.483803","18.88","2.017634574","70","1785"
"0","2000","12","V6d","V6d_b32","200","2","586.6437","78.5582","7.458634","12.714078","12.92","1.398493871","69","1020"
"0","2000","13","V6e","V6e_b64","200","2","589.7514","101.024","7.434855","12.606761","12.9","1.394035262","69","1020"
"0","2000","14","V5c","V5c_b64","200","2","599.5884","95.1235","7.573295","12.630823","12.86","1.419992776","69","1020"
"0","4000","0","V1","V1","200","57","15376.0374","14451","498.87341","32.444862","35.27","11.692345549","75","1737.368"
"0","4000","1","V2","V2","200","56","15905.1973","14598.1","517.486889","32.53571","35.56","12.128598969","75","1780.714"
"0","4000","2","V3","V3","200","14","4371.4534","2616.1","122.523543","28.028102","34.9","2.871645544","73","1732.5"
"0","4000","3","V3f","V3f","200","13","4071.7529","2205.6","108.253663","26.586501","35.04","2.537195219","72","1629.231"
"0","4000","4","V4","V4","200","6","1920.4079","89.1126","35.518681","18.495384","19.33","0.832469089","69","1657.5"
"0","4000","5","V5a","V5a_t32x32","200","15","4837.6945","2894.75","118.543129","24.504054","35.17","2.778354592","71","1506"
"0","4000","6","V5af","V5af_t32x32","200","13","4031.1358","2443.1","113.515549","28.159694","36.22","2.660520679","71","1707.692"
"0","4000","7","V5bf","V5bf_t32x32","200","16","4895.3116","3319.61","142.891621","29.189484","35.2","3.349022377","71","1758.75"
"0","4000","8","VLU","VLU","200","13","4003.656","2392.49","105.281921","26.296445","34.94","2.467545021","70","1669.615"
"0","4000","9","V6a","V6a_b64","200","7","2317.3131","426.488","41.171709","17.767003","23.78","0.964961923","69","1598.571"
"0","4000","10","V6b","V6b_b64","200","7","2243.7295","335.133","29.272661","13.046431","16.31","0.686078001","66","1020"
"0","4000","11","V6c","V6c_b64","200","7","2407.1211","285.384","30.06477","12.489928","16.27","0.704643042","66","964.286"
