"variant","n","repeats","median_gpu_ms","q1_gpu_ms","q3_gpu_ms","iqr_gpu_ms","min_gpu_ms","max_gpu_ms","max_residual_norm2","max_solution_error_norm2","median_energy_j","median_avg_power_w","median_process_wall_ms","median_joules_per_effective_gflop"
"V1","2000","5","2256.14","2247.39","2270.81","23.42","2243.83","2607.26","2.03483E-08","9.30284E-07","76.111177","26.608405","2896.744","14.270845616"
"V2","2000","5","2402.86","2380.47","2402.88","22.41","2349.46","3025.91","2.03483E-08","9.30284E-07","86.235389","26.455881","3267.2121","16.169135381"
"V3","2000","5","495.638","491.434","555.613","64.179","440.74","625.509","2.03483E-08","9.30284E-07","28.812446","23.479721","1204.0118","5.402333552"
"V3f","2000","5","346.138","327.539","376.661","49.122","323.032","416.702","2.03483E-08","9.30284E-07","24.718281","23.015604","1179.7733","4.634677621"
"V4","2000","5","34.877","29.8992","39.6184","9.7192","23.0404","41.5812","1.25573E-08","5.7416E-07","13.144723","18.447679","920.717","2.464635591"
"V5a_t32x32","2000","5","582.966","553.95","605.729","51.779","443.262","609.294","2.03483E-08","9.30284E-07","33.113849","21.305199","1617.7406","6.208846735"
"V5af_t32x32","2000","5","373.991","373.343","393.399","20.056","367.897","418.656","2.03483E-08","9.30284E-07","28.215254","22.547035","1263.5468","5.290360056"
"V5bf_t32x32","2000","5","480.463","477.741","486.026","8.285","468.085","554.043","2.03483E-08","9.30284E-07","32.788886","25.635247","1216.502","6.147916138"
"V5c_b64","2000","5","116.835","109.535","123.23","13.695","95.1235","128.086","1.19906E-08","5.48212E-07","12.124018","14.177721","930.201","2.273253456"
"V6a_b64","2000","5","195.168","179.536","227.24","47.704","114.341","357.932","1.19904E-08","5.48204E-07","18.089289","18.82802","956.0079","3.391741768"
"V6b_b64","2000","5","141.723","132.316","159.065","26.749","91.0234","174.518","1.19904E-08","5.48204E-07","16.134446","18.665493","912.6163","3.025208535"
"V6c_b64","2000","5","129.343","117.816","131.69","13.874","75.5377","236.832","1.19904E-08","5.48204E-07","12.480676","13.040793","944.2116","2.340126744"
"V6d_b32","2000","5","112.171","84.8505","120.41","35.5595","78.5582","128.572","1.20803E-08","5.52197E-07","12.092426","12.884057","934.6145","2.267329872"
"V6e_b64","2000","5","103.594","102.836","104.162","1.326","101.024","117.928","1.19904E-08","5.48204E-07","11.4679","12.664326","900.2284","2.150231202"
"VLU","2000","5","391.751","383.148","391.758","8.61","367.485","472.728","1.31434E-08","5.99648E-07","27.407575","25.821075","1021.0657","5.138920376"
"V1","4000","5","14410.8","14370.1","14451","80.9","14369.8","16666.2","2.01869E-08","1.29761E-06","506.287323","32.67714","15485.7312","11.866109126"
"V2","4000","5","14581.1","14530","14598.1","68.1","14521.8","16748.7","2.01869E-08","1.29761E-06","517.486889","32.425872","15934.4615","12.128598969"
"V3","4000","5","2533.41","2504.41","2616.1","111.69","2471.47","2820.99","2.01869E-08","1.29761E-06","112.669599","28.160786","4102.1349","2.640693716"
"V3f","4000","5","2189.45","2183.61","2205.6","21.99","2180.22","2597.72","2.01869E-08","1.29761E-06","101.132145","28.171552","3689.3062","2.370284659"
"V4","4000","5","62.364","60.6556","70.0846","9.429","60.0505","89.1126","1.18328E-08","7.60311E-07","31.416897","18.495384","1480.4667","0.736333515"
"V5a_t32x32","4000","5","2803.53","2738.2","2894.75","156.55","2738","3339.68","2.01869E-08","1.29761E-06","113.017899","26.691035","4359.0413","2.648857018"
"V5af_t32x32","4000","5","2443.1","2427.86","2466.46","38.6","2423.19","2865.74","2.01869E-08","1.29761E-06","105.161334","27.975729","3759.0203","2.464718772"
"V5bf_t32x32","4000","5","3310.39","3301.68","3319.61","17.93","3296.59","3824.84","2.01869E-08","1.29761E-06","139.238963","29.189484","4847.1375","3.263413191"
"V5c_b64","4000","5","300.498","298.898","349.409","50.511","295.924","491.69","1.1844E-08","7.61073E-07","34.632439","21.837305","1658.1717","0.8116978"
"V6a_b64","4000","5","317.333","313.387","426.488","113.101","277.551","675.353","1.1844E-08","7.61073E-07","34.087558","19.557305","1742.9578","0.798927144"
"V6b_b64","4000","5","234.453","229.467","335.133","105.666","223.863","543.713","1.1844E-08","7.61073E-07","31.565907","21.2756","1477.5548","0.739825936"
"V6c_b64","4000","5","203.403","196.312","285.384","89.072","191.88","424.807","1.1844E-08","7.61073E-07","30.06477","14.769993","1434.4335","0.704643042"
"V6d_b32","4000","5","222.265","209.512","316.705","107.193","207.148","368.427","1.19693E-08","7.6928E-07","26.414554","15.645286","1437.3886","0.619091109"
"V6e_b64","4000","5","314.669","258.877","317.104","58.227","232.007","325.932","1.1844E-08","7.61073E-07","26.761712","15.015956","1654.8957","0.62722763"
"VLU","4000","5","2378.47","2376.62","2392.49","15.87","2376.5","2754.73","1.2128E-08","7.79758E-07","100.22323","27.338557","3660.6063","2.34898196"
"V1","8000","5","194791","194773","194797","24","194642","194802","1.89383E-08","1.71332E-06","6663.305776","33.626633","198228.9962","19.521403641"
"V2","8000","5","194922","194804","194922","118","194749","226150","1.89383E-08","1.71332E-06","6680.183392","33.235276","200299.2281","19.570849781"
"V3","8000","5","16714.7","16647.3","16779.2","131.9","16641","19645.2","1.89383E-08","1.71332E-06","636.10465","28.828723","22064.9609","1.863587841"
"V3f","8000","5","15792","15786.9","15800.4","13.5","15780.9","18535.9","1.89383E-08","1.71332E-06","595.54302","29.085666","20486.1499","1.744754941"
"V4","8000","5","325.179","324.798","325.669","0.871","312.387","358.967","1.13568E-08","1.02736E-06","67.129433","11.447064","5975.1104","0.19666826"
"V5a_t32x32","8000","5","18744.1","18733.1","18963.5","230.4","18727.9","21881.6","1.89383E-08","1.71332E-06","705.619623","30.236999","23346.903","2.067244989"
"V5af_t32x32","8000","5","18186.1","18165.7","18220","54.3","18152","20149.7","1.89383E-08","1.71332E-06","670.800127","30.580263","21935.7215","1.965234747"
"V5bf_t32x32","8000","5","26709.6","26687.8","26711.9","24.1","26681.3","26739.5","1.89383E-08","1.71332E-06","963.553397","31.487437","30523.1524","2.822910343"
"V5c_b64","8000","5","1754.57","1738.51","1754.64","16.13","1720.18","1810.47","1.14333E-08","1.03433E-06","111.484766","18.906065","5908.8872","0.326615525"
"V6a_b64","8000","5","1075.47","1006.04","1162.24","156.2","867.285","1165.09","1.14333E-08","1.03433E-06","93.505422","12.747314","7261.6414","0.273941667"
"V6b_b64","8000","5","775.58","774.59","829.238","54.648","756.241","848.546","1.14333E-08","1.03433E-06","82.998535","13.206759","6251.9041","0.243159771"
"V6c_b64","8000","5","646.427","645.391","674.085","28.694","627.749","848.924","1.14333E-08","1.03433E-06","82.871529","14.175451","5638.4325","0.242787682"
"V6d_b64","8000","5","615.257","609.73","619.405","9.675","597.365","636.596","1.14333E-08","1.03433E-06","82.264125","15.728358","5252.1965","0.241008177"
"V6e_b64","8000","5","1346.39","1341.58","1372.1","30.52","1340.03","1374.3","1.14333E-08","1.03433E-06","96.411806","16.929863","5754.387","0.282456464"
"VLU","8000","5","16572.7","16569.6","16588.1","18.5","16558.2","16624.2","1.05104E-08","9.51103E-07","616.197898","29.257848","21060.9438","1.805267281"
"V1","16000","5","2570990","2570940","2660950","90010","2570870","2720940","1.62613E-08","2.07306E-06","86154.233472","33.084044","2582922.4162","31.55062261"
"V2","16000","5","2569370","2569220","2569440","220","2569090","2569450","1.62613E-08","2.07306E-06","85701.647317","33.121195","2587920.3508","31.384880609"
"V3","16000","5","125535","125488","125658","170","125454","125738","1.62613E-08","2.07306E-06","4492.87961","31.205946","144010.1614","1.645341654"
"V3f","16000","5","123979","123962","123984","22","123932","124015","1.62613E-08","2.07306E-06","4404.398878","31.239205","140900.2661","1.612939042"
"V4","16000","5","2068.3","2056.94","2070.28","13.34","2054.98","2078.21","1.12703E-08","1.43695E-06","226.91172","9.764012","21871.1343","0.083097554"
"V5a_t32x32","16000","5","160979","160911","161094","183","160893","161105","1.62613E-08","2.07306E-06","5705.104608","32.947763","172920.2217","2.089271707"
"V5af_t32x32","16000","5","159233","159122","159284","162","159114","166016","1.62613E-08","2.07306E-06","5634.150574","32.047573","175571.5559","2.063287564"
"V5bf_t32x32","16000","5","215548","215434","239423","23989","215256","247687","1.62613E-08","2.07306E-06","7570.514257","32.569232","232443.7485","2.772405123"
"V5c_b64","16000","5","12344.2","12328.1","14130.1","1802","12298.8","14453.3","1.13852E-08","1.45159E-06","549.274355","20.5738","26590.8193","0.201150277"
"V6a_b64","16000","5","3161.71","3132.66","3718.66","586","3081.29","3748.12","1.13852E-08","1.45159E-06","237.337735","11.328445","21074.4033","0.086915674"
"V6b_b64","16000","5","3109.11","3063.99","3648.02","584.03","3052.16","3738.39","1.13852E-08","1.45159E-06","218.696776","13.807807","15994.2376","0.080089151"
"V6c_b64","16000","5","2962.48","2948.97","3564.11","615.14","2946.86","3621.78","1.13852E-08","1.45159E-06","220.794328","13.23309","17005.795","0.080857298"
"V6d_b64","16000","5","2983.18","2965.49","3545.54","580.05","2964.93","3569.39","1.13852E-08","1.45159E-06","244.226431","14.271457","17195.3203","0.08943839"
"V6e_b64","16000","5","7352.21","7350.38","8553.4","1203.02","7349.3","8633.33","1.13852E-08","1.45159E-06","341.400859","15.791612","21619.783","0.125024729"
"VLU","16000","5","127118","127088","148515","21427","127069","149231","3.66895E-09","4.6783E-07","4467.405388","31.049206","143881.4692","1.636012715"
