"sequence","protocol_repeat","stage","n","kappa","requested_variant","launch_position","protocol_seed","raw_row_index","started_at","process_wall_ms","status","failure"
"0","0","warmup","2000","100","V1","0","42","0","2026-08-23T03:18:33.7716028-04:00","3743.412","ok",""
"1","0","warmup","2000","100","V2","1","42","1","2026-08-23T03:18:37.6087271-04:00","3754.926","ok",""
"2","0","warmup","2000","100","V3","2","42","2","2026-08-23T03:18:41.3826744-04:00","1675.199","ok",""
"3","0","warmup","2000","100","V3f","3","42","3","2026-08-23T03:18:43.0760753-04:00","1462.575","ok",""
"4","0","warmup","2000","100","V4","4","42","4","2026-08-23T03:18:44.5555227-04:00","1185.545","ok",""
"5","0","warmup","2000","100","V5a","5","42","5","2026-08-23T03:18:45.7601751-04:00","1738.378","ok",""
"6","0","warmup","2000","100","V5af","6","42","6","2026-08-23T03:18:47.5158988-04:00","1480.721","ok",""
"7","0","warmup","2000","100","V5bf","7","42","7","2026-08-23T03:18:49.0122266-04:00","1426.005","ok",""
"8","0","warmup","2000","100","VLU","8","42","8","2026-08-23T03:18:50.4527066-04:00","1452.01","ok",""
"9","0","warmup","2000","100","V6a","9","42","9","2026-08-23T03:18:51.9200087-04:00","1202.365","ok",""
"10","0","warmup","2000","100","V6b","10","42","10","2026-08-23T03:18:53.1370921-04:00","1193.832","ok",""
"11","0","warmup","2000","100","V6c","11","42","11","2026-08-23T03:18:54.3456764-04:00","1144.916","ok",""
"12","0","warmup","2000","100","V6d","12","42","12","2026-08-23T03:18:55.5041719-04:00","1168.663","ok",""
"13","0","warmup","2000","100","V6e","13","42","13","2026-08-23T03:18:56.6871425-04:00","1102.174","ok",""
"14","0","warmup","2000","100","V5c","14","42","14","2026-08-23T03:18:57.8024611-04:00","1193.284","ok",""
"15","0","warmup","2000","10000","V1","0","42","15","2026-08-23T03:18:59.0101141-04:00","3207.42","ok",""
"16","0","warmup","2000","10000","V2","1","42","16","2026-08-23T03:19:02.2317374-04:00","3225.508","ok",""
"17","0","warmup","2000","10000","V3","2","42","17","2026-08-23T03:19:05.4685611-04:00","1369.389","ok",""
"18","0","warmup","2000","10000","V3f","3","42","18","2026-08-23T03:19:06.8502518-04:00","1118.642","ok",""
"19","0","warmup","2000","10000","V4","4","42","19","2026-08-23T03:19:07.9803736-04:00","876.946","ok",""
"20","0","warmup","2000","10000","V5a","5","42","20","2026-08-23T03:19:08.8684863-04:00","1386.423","ok",""
"21","0","warmup","2000","10000","V5af","6","42","21","2026-08-23T03:19:10.2651496-04:00","1129.754","ok",""
"22","0","warmup","2000","10000","V5bf","7","42","22","2026-08-23T03:19:11.4062654-04:00","1382.45","ok",""
"23","0","warmup","2000","10000","VLU","8","42","23","2026-08-23T03:19:12.7996415-04:00","1152.57","ok",""
"24","0","warmup","2000","10000","V6a","9","42","24","2026-08-23T03:19:13.9638481-04:00","1079.872","ok",""
"25","0","warmup","2000","10000","V6b","10","42","25","2026-08-23T03:19:15.0545707-04:00","1063.906","ok",""
"26","0","warmup","2000","10000","V6c","11","42","26","2026-08-23T03:19:16.1289487-04:00","1107.288","ok",""
"27","0","warmup","2000","10000","V6d","12","42","27","2026-08-23T03:19:17.2490863-04:00","1097.144","ok",""
"28","0","warmup","2000","10000","V6e","13","42","28","2026-08-23T03:19:18.3592093-04:00","1112.722","ok",""
"29","0","warmup","2000","10000","V5c","14","42","29","2026-08-23T03:19:19.4837622-04:00","1117.855","ok",""
"30","0","warmup","2000","1000000","V1","0","42","30","2026-08-23T03:19:20.6130742-04:00","3290.03","ok",""
"31","0","warmup","2000","1000000","V2","1","42","31","2026-08-23T03:19:23.9172415-04:00","3538.792","ok",""
"32","0","warmup","2000","1000000","V3","2","42","32","2026-08-23T03:19:27.4704215-04:00","1663.625","ok",""
"33","0","warmup","2000","1000000","V3f","3","42","33","2026-08-23T03:19:29.1484101-04:00","1373.293","ok",""
"34","0","warmup","2000","1000000","V4","4","42","34","2026-08-23T03:19:30.5365968-04:00","1086.426","ok",""
"35","0","warmup","2000","1000000","V5a","5","42","35","2026-08-23T03:19:31.6360997-04:00","1453.232","ok",""
"36","0","warmup","2000","1000000","V5af","6","42","36","2026-08-23T03:19:33.1029825-04:00","1395.603","ok",""
"37","0","warmup","2000","1000000","V5bf","7","42","37","2026-08-23T03:19:34.5118986-04:00","1360.216","ok",""
"38","0","warmup","2000","1000000","VLU","8","42","38","2026-08-23T03:19:35.8821174-04:00","1118.757","ok",""
"39","0","warmup","2000","1000000","V6a","9","42","39","2026-08-23T03:19:37.0117473-04:00","1051.38","ok",""
"40","0","warmup","2000","1000000","V6b","10","42","40","2026-08-23T03:19:38.0736026-04:00","1074.96","ok",""
"41","0","warmup","2000","1000000","V6c","11","42","41","2026-08-23T03:19:39.1586640-04:00","1052.281","ok",""
"42","0","warmup","2000","1000000","V6d","12","42","42","2026-08-23T03:19:40.2252896-04:00","1072.822","ok",""
"43","0","warmup","2000","1000000","V6e","13","42","43","2026-08-23T03:19:41.3080374-04:00","1054.384","ok",""
"44","0","warmup","2000","1000000","V5c","14","42","44","2026-08-23T03:19:42.3729609-04:00","1069.81","ok",""
"45","0","warmup","4000","100","V1","0","42","45","2026-08-23T03:19:43.4548741-04:00","16647.704","ok",""
"46","0","warmup","4000","100","V2","1","42","46","2026-08-23T03:20:00.1193892-04:00","17299.234","ok",""
"47","0","warmup","4000","100","V3","2","42","47","2026-08-23T03:20:17.4362621-04:00","6266.114","ok",""
"48","0","warmup","4000","100","V3f","3","42","48","2026-08-23T03:20:23.7221668-04:00","6127.937","ok",""
"49","0","warmup","4000","100","V4","4","42","49","2026-08-23T03:20:29.8732018-04:00","4078.422","ok",""
"50","0","warmup","4000","100","V5a","5","42","50","2026-08-23T03:20:33.9740394-04:00","6546.902","ok",""
"51","0","warmup","4000","100","V5af","6","42","51","2026-08-23T03:20:40.5494949-04:00","5767.134","ok",""
"52","0","warmup","4000","100","V5bf","7","42","52","2026-08-23T03:20:46.3324257-04:00","6470.509","ok",""
"53","0","warmup","4000","100","VLU","8","42","53","2026-08-23T03:20:52.8187011-04:00","5280.188","ok",""
"54","0","warmup","4000","100","V6a","9","42","54","2026-08-23T03:20:58.1195959-04:00","3232.1","ok",""
"55","0","warmup","4000","100","V6b","10","42","55","2026-08-23T03:21:01.3668851-04:00","3208.465","ok",""
"56","0","warmup","4000","100","V6c","11","42","56","2026-08-23T03:21:04.5910071-04:00","3093.837","ok",""
"57","0","warmup","4000","100","V6d","12","42","57","2026-08-23T03:21:07.7002633-04:00","3098.711","ok",""
"58","0","warmup","4000","100","V6e","13","42","58","2026-08-23T03:21:10.8129803-04:00","2789.281","ok",""
"59","0","warmup","4000","100","V5c","14","42","59","2026-08-23T03:21:13.6135930-04:00","2672.476","ok",""
"60","0","warmup","4000","10000","V1","0","42","60","2026-08-23T03:21:16.2984005-04:00","16736.503","ok",""
"61","0","warmup","4000","10000","V2","1","42","61","2026-08-23T03:21:33.0478417-04:00","17051.974","ok",""
"62","0","warmup","4000","10000","V3","2","42","62","2026-08-23T03:21:50.1170459-04:00","5351.041","ok",""
"63","0","warmup","4000","10000","V3f","3","42","63","2026-08-23T03:21:55.4839211-04:00","5061.578","ok",""
"64","0","warmup","4000","10000","V4","4","42","64","2026-08-23T03:22:00.5639763-04:00","3604.017","ok",""
"65","0","warmup","4000","10000","V5a","5","42","65","2026-08-23T03:22:04.1882577-04:00","6707.541","ok",""
"66","0","warmup","4000","10000","V5af","6","42","66","2026-08-23T03:22:10.9238434-04:00","6618.658","ok",""
"67","0","warmup","4000","10000","V5bf","7","42","67","2026-08-23T03:22:17.5876878-04:00","7109.582","ok",""
"68","0","warmup","4000","10000","VLU","8","42","68","2026-08-23T03:22:24.7148620-04:00","5617.126","ok",""
"69","0","warmup","4000","10000","V6a","9","42","69","2026-08-23T03:22:30.3510970-04:00","3668.598","ok",""
