"variant","observed_variant","n","kappa","repeats_of_record","median_gpu_ms","q1_gpu_ms","q3_gpu_ms","iqr_gpu_ms","min_residual_norm2","max_residual_norm2","min_solution_error_norm2","max_solution_error_norm2"
"V1","V1","2000","100","6","2269.69","2265.4525","2273.215","7.7625","1.12868E-08","1.18106E-08","2.44822E-06","2.89467E-06"
"V2","V2","2000","100","6","2377.525","2342.835","2386.2125","43.3775","1.12868E-08","1.18106E-08","2.44822E-06","2.89467E-06"
"V3","V3","2000","100","6","466.795","418.7385","487.46375","68.72525","1.12868E-08","1.18106E-08","2.44822E-06","2.89467E-06"
"V3f","V3f","2000","100","6","325.7","322.9965","329.08225","6.08575","1.12868E-08","1.18106E-08","2.44822E-06","2.89467E-06"
"V4","V4","2000","100","6","27.3804","26.30645","28.506475","2.200025","1.18011E-08","1.24877E-08","4.06665E-06","5.25079E-06"
"V5a","V5a_t32x32","2000","100","6","527.055","499.726","537.93875","38.21275","1.12868E-08","1.18106E-08","2.44822E-06","2.89467E-06"
"V5af","V5af_t32x32","2000","100","6","365.9295","355.96625","377.32675","21.3605","1.12868E-08","1.18106E-08","2.44822E-06","2.89467E-06"
"V5bf","V5bf_t32x32","2000","100","6","482.5865","478.82275","491.1645","12.34175","1.12868E-08","1.18106E-08","2.44822E-06","2.89467E-06"
"V5c","V5c_b64","2000","100","6","121.609","100.98105","134.40875","33.4277","1.15749E-08","1.22532E-08","3.90393E-06","5.00368E-06"
"V6a","V6a_b64","2000","100","6","170.2775","161.19175","179.90775","18.716","1.15426E-08","1.22299E-08","3.90597E-06","5.00344E-06"
"V6b","V6b_b64","2000","100","6","140.4875","111.231","146.29","35.059","1.15426E-08","1.22299E-08","3.90597E-06","5.00344E-06"
"V6c","V6c_b64","2000","100","6","104.8465","85.6445","118.28625","32.64175","1.15426E-08","1.22299E-08","3.90597E-06","5.00344E-06"
"V6d","V6d_b32","2000","100","6","115.449","93.1266","145.36575","52.23915","1.15792E-08","1.22716E-08","3.91807E-06","5.11668E-06"
"V6e","V6e_b64","2000","100","6","103.3135","101.772","103.556","1.784","1.15426E-08","1.22299E-08","3.90597E-06","5.00344E-06"
"VLU","VLU","2000","100","6","377.4425","372.51075","378.43525","5.9245","9.73341E-09","1.16483E-08","5.51228E-06","8.62051E-06"
"V1","V1","2000","10000","6","2274.6","2272.5475","2280.8975","8.35","8.71229E-09","9.64454E-09","0.000148023","0.000206205"
"V2","V2","2000","10000","6","2343.665","2339.8075","2363.5125","23.705","8.71229E-09","9.64454E-09","0.000148023","0.000206205"
"V3","V3","2000","10000","6","456.7255","447.74175","463.67225","15.9305","8.71229E-09","9.64454E-09","0.000148023","0.000206205"
"V3f","V3f","2000","10000","6","322.318","320.1395","324.4245","4.285","8.71229E-09","9.64454E-09","0.000148023","0.000206205"
"V4","V4","2000","10000","6","28.5439","26.9457","33.190625","6.244925","1.12005E-08","1.24268E-08","0.000303669","0.000380215"
"V5a","V5a_t32x32","2000","10000","6","575.9715","536.2645","583.70525","47.44075","8.71229E-09","9.64454E-09","0.000148023","0.000206205"
"V5af","V5af_t32x32","2000","10000","6","373.631","365.614","387.897","22.283","8.71229E-09","9.64454E-09","0.000148023","0.000206205"
"V5bf","V5bf_t32x32","2000","10000","6","473.098","470.03575","476.533","6.49725","8.71229E-09","9.64454E-09","0.000148023","0.000206205"
"V5c","V5c_b64","2000","10000","6","111.4635","107.81125","113.60075","5.7895","1.07303E-08","1.24178E-08","0.000257255","0.000354395"
"V6a","V6a_b64","2000","10000","6","158.966","139.355","165.47675","26.12175","1.06657E-08","1.24061E-08","0.000257256","0.000354394"
"V6b","V6b_b64","2000","10000","6","137.7185","119.2485","148.32475","29.07625","1.06657E-08","1.24061E-08","0.000257256","0.000354394"
"V6c","V6c_b64","2000","10000","6","96.01385","93.261125","103.0304","9.769275","1.06657E-08","1.24061E-08","0.000257256","0.000354394"
"V6d","V6d_b32","2000","10000","6","106.841","105.03725","111.09575","6.0585","1.04467E-08","1.14439E-08","0.000249981","0.000324066"
"V6e","V6e_b64","2000","10000","6","103.0135","102.125","103.30575","1.18075","1.06657E-08","1.24061E-08","0.000257256","0.000354394"
"VLU","VLU","2000","10000","6","378.857","375.30925","393.33075","18.0215","9.6125E-09","1.00329E-08","0.000358618","0.000494517"
"V1","V1","2000","1000000","6","2276.595","2272.4","2283.1525","10.7525","7.6215E-09","8.57905E-09","0.011089","0.0155219"
"V2","V2","2000","1000000","6","2348.74","2334.5575","2357.9425","23.385","7.6215E-09","8.57905E-09","0.011089","0.0155219"
"V3","V3","2000","1000000","6","451.9695","448.24075","486.383","38.14225","7.6215E-09","8.57905E-09","0.011089","0.0155219"
"V3f","V3f","2000","1000000","6","333.131","324.48375","342.0985","17.61475","7.6215E-09","8.57905E-09","0.011089","0.0155219"
"V4","V4","2000","1000000","6","25.11975","23.7542","27.6454","3.8912","1.05197E-08","1.2553E-08","0.0186273","0.0260128"
"V5a","V5a_t32x32","2000","1000000","6","534.6055","523.53625","547.74325","24.207","7.6215E-09","8.57905E-09","0.011089","0.0155219"
"V5af","V5af_t32x32","2000","1000000","6","355.1555","354.3485","366.0545","11.706","7.6215E-09","8.57905E-09","0.011089","0.0155219"
"V5bf","V5bf_t32x32","2000","1000000","6","473.3245","470.48475","475.1165","4.63175","7.6215E-09","8.57905E-09","0.011089","0.0155219"
"V5c","V5c_b64","2000","1000000","6","105.181","103.0855","120.901","17.8155","1.03662E-08","1.19497E-08","0.0165134","0.023792"
"V6a","V6a_b64","2000","1000000","6","137.4235","136.27675","151.94125","15.6645","1.04315E-08","1.21112E-08","0.0165134","0.023792"
"V6b","V6b_b64","2000","1000000","6","128.936","119.22125","133.29725","14.076","1.04315E-08","1.21112E-08","0.0165134","0.023792"
"V6c","V6c_b64","2000","1000000","6","95.72645","90.98395","103.788675","12.804725","1.04315E-08","1.21112E-08","0.0165134","0.023792"
"V6d","V6d_b32","2000","1000000","6","98.8746","89.779175","107.245","17.465825","1.02229E-08","1.15446E-08","0.0174999","0.0239978"
"V6e","V6e_b64","2000","1000000","6","102.1175","102.00575","102.28775","0.282","1.04315E-08","1.21112E-08","0.0165134","0.023792"
"VLU","VLU","2000","1000000","6","375.2825","373.7405","377.0375","3.297","8.18908E-09","9.49962E-09","0.0243904","0.0353849"
"V1","V1","4000","100","6","14431.05","14419.925","14437.975","18.05","1.00632E-08","1.05847E-08","1.8856E-06","2.48148E-06"
"V2","V2","4000","100","6","14561.2","14558.875","14563.975","5.1","1.00632E-08","1.05847E-08","1.8856E-06","2.48148E-06"
"V3","V3","4000","100","6","2522.39","2498.02","2527.035","29.015","1.00632E-08","1.05847E-08","1.8856E-06","2.48148E-06"
"V3f","V3f","4000","100","6","2198.23","2189.2925","2202.3075","13.015","1.00632E-08","1.05847E-08","1.8856E-06","2.48148E-06"
"V4","V4","4000","100","6","78.4173","76.040725","81.697025","5.6563","7.87222E-09","8.15056E-09","3.3736E-06","4.21637E-06"
"V5a","V5a_t32x32","4000","100","6","2718.045","2695.745","2800.5925","104.8475","1.00632E-08","1.05847E-08","1.8856E-06","2.48148E-06"
"V5af","V5af_t32x32","4000","100","6","2462.665","2456.9475","2476.3175","19.37","1.00632E-08","1.05847E-08","1.8856E-06","2.48148E-06"
"V5bf","V5bf_t32x32","4000","100","6","3339.385","3330.06","3340.01","9.95","1.00632E-08","1.05847E-08","1.8856E-06","2.48148E-06"
"V5c","V5c_b64","4000","100","6","343.303","339.39725","352.80375","13.4065","7.80532E-09","8.11084E-09","2.97034E-06","3.74216E-06"
"V6a","V6a_b64","4000","100","6","293.947","290.54625","306.67925","16.133","7.80529E-09","8.13718E-09","2.97041E-06","3.74115E-06"
"V6b","V6b_b64","4000","100","6","239.8975","239.5905","243.5105","3.92","7.80529E-09","8.13718E-09","2.97041E-06","3.74115E-06"
"V6c","V6c_b64","4000","100","6","188.3875","185.15875","199.0165","13.85775","7.80529E-09","8.13718E-09","2.97041E-06","3.74115E-06"
"V6d","V6d_b32","4000","100","6","218.2745","211.346","224.19425","12.84825","7.92328E-09","8.30941E-09","2.86394E-06","3.68767E-06"
"V6e","V6e_b64","4000","100","6","309.339","303.7155","314.3895","10.674","7.80529E-09","8.13718E-09","2.97041E-06","3.74115E-06"
"VLU","VLU","4000","100","6","2389.575","2386.44","2390.9925","4.5525","7.68006E-09","8.24846E-09","3.74017E-06","6.31702E-06"
"V1","V1","4000","10000","6","14424.15","14417.05","14432.6","15.55","8.12834E-09","8.5588E-09","0.000151355","0.000179884"
"V2","V2","4000","10000","6","14577.85","14555.725","14585.575","29.85","8.12834E-09","8.5588E-09","0.000151355","0.000179884"
"V3","V3","4000","10000","6","2521.68","2508.4375","2540.03","31.5925","8.12834E-09","8.5588E-09","0.000151355","0.000179884"
"V3f","V3f","4000","10000","6","2204.27","2202.5675","2241.185","38.6175","8.12834E-09","8.5588E-09","0.000151355","0.000179884"
"V4","V4","4000","10000","6","79.46805","77.9668","80.591525","2.624725","8.21151E-09","8.7017E-09","0.0002852","0.000346988"
"V5a","V5a_t32x32","4000","10000","6","2831.16","2786.0475","2853.165","67.1175","8.12834E-09","8.5588E-09","0.000151355","0.000179884"
"V5af","V5af_t32x32","4000","10000","6","2469.205","2466.5425","2471.9575","5.415","8.12834E-09","8.5588E-09","0.000151355","0.000179884"
"V5bf","V5bf_t32x32","4000","10000","6","3341.29","3336.8","3345.465","8.665","8.12834E-09","8.5588E-09","0.000151355","0.000179884"
"V5c","V5c_b64","4000","10000","6","329.098","319.00925","349.17975","30.1705","7.99347E-09","8.93144E-09","0.000252314","0.00034676"
"V6a","V6a_b64","4000","10000","6","314.721","308.6815","325.39025","16.70875","8.01523E-09","8.95418E-09","0.000252313","0.000346759"
"V6b","V6b_b64","4000","10000","6","246.7665","243.26525","259.30825","16.043","8.01523E-09","8.95418E-09","0.000252313","0.000346759"
"V6c","V6c_b64","4000","10000","6","203.8275","196.20575","205.2895","9.08375","8.01523E-09","8.95418E-09","0.000252313","0.000346759"
"V6d","V6d_b32","4000","10000","6","223.7885","222.72175","225.144","2.42225","7.95128E-09","8.58712E-09","0.000256589","0.000346947"
"V6e","V6e_b64","4000","10000","6","307.968","296.42225","317.6515","21.22925","8.01523E-09","8.95418E-09","0.000252313","0.000346759"
"VLU","VLU","4000","10000","6","2391.465","2390.2975","2392.4375","2.14","6.75587E-09","7.27037E-09","0.000337379","0.000482084"
"V1","V1","4000","1000000","6","14422.45","14413.725","14424.35","10.625","6.79634E-09","7.50718E-09","0.014135","0.0150119"
"V2","V2","4000","1000000","6","14563.5","14563.025","14572.9","9.875","6.79634E-09","7.50718E-09","0.014135","0.0150119"
"V3","V3","4000","1000000","6","2502.245","2490.5925","2515.84","25.2475","6.79634E-09","7.50718E-09","0.014135","0.0150119"
"V3f","V3f","4000","1000000","6","2191.605","2188.8975","2193.345","4.4475","6.79634E-09","7.50718E-09","0.014135","0.0150119"
"V4","V4","4000","1000000","6","79.69795","78.436425","81.3743","2.937875","7.51087E-09","8.2829E-09","0.0211119","0.0250256"
"V5a","V5a_t32x32","4000","1000000","6","2855.015","2845.49","2880.95","35.46","6.79634E-09","7.50718E-09","0.014135","0.0150119"
"V5af","V5af_t32x32","4000","1000000","6","2480.4","2476.8475","2490.68","13.8325","6.79634E-09","7.50718E-09","0.014135","0.0150119"
"V5bf","V5bf_t32x32","4000","1000000","6","3337.735","3333.87","3345.7475","11.8775","6.79634E-09","7.50718E-09","0.014135","0.0150119"
"V5c","V5c_b64","4000","1000000","6","357.3785","332.60075","367.09925","34.4985","7.04244E-09","8.50408E-09","0.0174389","0.0223017"
"V6a","V6a_b64","4000","1000000","6","327.554","313.14225","332.08525","18.943","7.03999E-09","8.44972E-09","0.0174389","0.0223017"
"V6b","V6b_b64","4000","1000000","6","266.4635","259.8645","278.071","18.2065","7.03999E-09","8.44972E-09","0.0174389","0.0223017"
"V6c","V6c_b64","4000","1000000","6","214.391","210.419","221.2415","10.8225","7.03999E-09","8.44972E-09","0.0174389","0.0223017"
"V6d","V6d_b32","4000","1000000","6","221.861","213.8975","225.21875","11.32125","7.552E-09","8.47774E-09","0.0173169","0.0209923"
"V6e","V6e_b64","4000","1000000","6","293.1915","288.9565","301.46375","12.50725","7.03999E-09","8.44972E-09","0.0174389","0.0223017"
"VLU","VLU","4000","1000000","6","2391.345","2385.4275","2407.6575","22.23","6.15815E-09","6.69166E-09","0.0255685","0.032188"
