"captured_at","sequence","protocol_repeat","stage","n","kappa","requested_variant","launch_position","gpu_timestamp","gpu_name","driver_version","temperature_c","power_w","sm_clock_mhz","memory_clock_mhz","gpu_utilization_pct","memory_utilization_pct"
"2026-08-23T03:18:33.9511255-04:00","0","0","warmup","2000","100","V1","0","2026/08/23 03:18:33.914","NVIDIA GeForce GTX 1650","573.22","61","6.38","300","405","0","0"
"2026-08-23T03:18:34.3118149-04:00","0","0","warmup","2000","100","V1","0","2026/08/23 03:18:34.287","NVIDIA GeForce GTX 1650","573.22","61","6.38","300","405","0","0"
"2026-08-23T03:18:34.6200181-04:00","0","0","warmup","2000","100","V1","0","2026/08/23 03:18:34.599","NVIDIA GeForce GTX 1650","573.22","61","6.40","300","405","0","0"
"2026-08-23T03:18:34.9506637-04:00","0","0","warmup","2000","100","V1","0","2026/08/23 03:18:34.925","NVIDIA GeForce GTX 1650","573.22","61","6.42","1020","3500","0","0"
"2026-08-23T03:18:35.2590725-04:00","0","0","warmup","2000","100","V1","0","2026/08/23 03:18:35.234","NVIDIA GeForce GTX 1650","573.22","63","21.90","1800","3500","0","0"
"2026-08-23T03:18:35.5396972-04:00","0","0","warmup","2000","100","V1","0","2026/08/23 03:18:35.526","NVIDIA GeForce GTX 1650","573.22","63","31.09","1800","3500","50","7"
"2026-08-23T03:18:35.8220201-04:00","0","0","warmup","2000","100","V1","0","2026/08/23 03:18:35.802","NVIDIA GeForce GTX 1650","573.22","65","30.92","1800","3500","50","7"
"2026-08-23T03:18:36.1088303-04:00","0","0","warmup","2000","100","V1","0","2026/08/23 03:18:36.094","NVIDIA GeForce GTX 1650","573.22","65","30.59","1800","3500","50","7"
"2026-08-23T03:18:36.4214304-04:00","0","0","warmup","2000","100","V1","0","2026/08/23 03:18:36.401","NVIDIA GeForce GTX 1650","573.22","65","29.58","1800","3500","50","7"
"2026-08-23T03:18:36.7161786-04:00","0","0","warmup","2000","100","V1","0","2026/08/23 03:18:36.694","NVIDIA GeForce GTX 1650","573.22","65","28.73","1800","3500","100","13"
"2026-08-23T03:18:37.0015095-04:00","0","0","warmup","2000","100","V1","0","2026/08/23 03:18:36.986","NVIDIA GeForce GTX 1650","573.22","65","26.65","1800","3500","100","13"
"2026-08-23T03:18:37.3017275-04:00","0","0","warmup","2000","100","V1","0","2026/08/23 03:18:37.279","NVIDIA GeForce GTX 1650","573.22","65","18.97","1800","3500","100","13"
"2026-08-23T03:18:37.7409955-04:00","1","0","warmup","2000","100","V2","1","2026/08/23 03:18:37.713","NVIDIA GeForce GTX 1650","573.22","64","17.95","1800","3500","77","6"
"2026-08-23T03:18:38.0406912-04:00","1","0","warmup","2000","100","V2","1","2026/08/23 03:18:38.021","NVIDIA GeForce GTX 1650","573.22","64","18.01","1800","3500","77","6"
"2026-08-23T03:18:38.3495541-04:00","1","0","warmup","2000","100","V2","1","2026/08/23 03:18:38.329","NVIDIA GeForce GTX 1650","573.22","64","17.91","1800","3500","77","6"
"2026-08-23T03:18:38.6788275-04:00","1","0","warmup","2000","100","V2","1","2026/08/23 03:18:38.655","NVIDIA GeForce GTX 1650","573.22","64","17.94","1800","3500","0","0"
"2026-08-23T03:18:38.9718242-04:00","1","0","warmup","2000","100","V2","1","2026/08/23 03:18:38.954","NVIDIA GeForce GTX 1650","573.22","65","31.12","1800","3500","0","0"
"2026-08-23T03:18:39.2814011-04:00","1","0","warmup","2000","100","V2","1","2026/08/23 03:18:39.256","NVIDIA GeForce GTX 1650","573.22","65","30.83","1800","3500","0","0"
"2026-08-23T03:18:39.5856679-04:00","1","0","warmup","2000","100","V2","1","2026/08/23 03:18:39.567","NVIDIA GeForce GTX 1650","573.22","66","30.25","1800","3500","71","10"
"2026-08-23T03:18:39.8793177-04:00","1","0","warmup","2000","100","V2","1","2026/08/23 03:18:39.859","NVIDIA GeForce GTX 1650","573.22","66","30.27","1800","3500","71","10"
"2026-08-23T03:18:40.1783332-04:00","1","0","warmup","2000","100","V2","1","2026/08/23 03:18:40.160","NVIDIA GeForce GTX 1650","573.22","66","29.20","1800","3500","71","10"
"2026-08-23T03:18:40.4891737-04:00","1","0","warmup","2000","100","V2","1","2026/08/23 03:18:40.469","NVIDIA GeForce GTX 1650","573.22","66","27.42","1800","3500","91","11"
"2026-08-23T03:18:40.8074276-04:00","1","0","warmup","2000","100","V2","1","2026/08/23 03:18:40.778","NVIDIA GeForce GTX 1650","573.22","66","25.97","1800","3500","91","11"
"2026-08-23T03:18:41.0991751-04:00","1","0","warmup","2000","100","V2","1","2026/08/23 03:18:41.078","NVIDIA GeForce GTX 1650","573.22","66","22.43","1800","3500","91","11"
"2026-08-23T03:18:41.4870363-04:00","2","0","warmup","2000","100","V3","2","2026/08/23 03:18:41.466","NVIDIA GeForce GTX 1650","573.22","65","18.12","1800","3500","61","4"
"2026-08-23T03:18:41.7980219-04:00","2","0","warmup","2000","100","V3","2","2026/08/23 03:18:41.774","NVIDIA GeForce GTX 1650","573.22","65","18.07","1800","3500","61","4"
"2026-08-23T03:18:42.0845116-04:00","2","0","warmup","2000","100","V3","2","2026/08/23 03:18:42.068","NVIDIA GeForce GTX 1650","573.22","64","18.01","1800","3500","61","4"
"2026-08-23T03:18:42.3820774-04:00","2","0","warmup","2000","100","V3","2","2026/08/23 03:18:42.361","NVIDIA GeForce GTX 1650","573.22","64","22.08","1800","3500","61","4"
"2026-08-23T03:18:42.8191554-04:00","2","0","warmup","2000","100","V3","2","2026/08/23 03:18:42.656","NVIDIA GeForce GTX 1650","573.22","66","32.31","1800","3500","13","11"
"2026-08-23T03:18:43.1653187-04:00","3","0","warmup","2000","100","V3f","3","2026/08/23 03:18:43.150","NVIDIA GeForce GTX 1650","573.22","65","18.26","1800","3500","13","11"
"2026-08-23T03:18:43.4460995-04:00","3","0","warmup","2000","100","V3f","3","2026/08/23 03:18:43.429","NVIDIA GeForce GTX 1650","573.22","65","18.23","1800","3500","13","11"
"2026-08-23T03:18:43.7378665-04:00","3","0","warmup","2000","100","V3f","3","2026/08/23 03:18:43.722","NVIDIA GeForce GTX 1650","573.22","64","18.14","1800","3500","24","13"
"2026-08-23T03:18:44.0395602-04:00","3","0","warmup","2000","100","V3f","3","2026/08/23 03:18:44.013","NVIDIA GeForce GTX 1650","573.22","64","37.14","1620","3500","24","13"
"2026-08-23T03:18:44.3293002-04:00","3","0","warmup","2000","100","V3f","3","2026/08/23 03:18:44.306","NVIDIA GeForce GTX 1650","573.22","65","18.92","1800","3500","24","13"
"2026-08-23T03:18:44.6660385-04:00","4","0","warmup","2000","100","V4","4","2026/08/23 03:18:44.646","NVIDIA GeForce GTX 1650","573.22","65","18.05","1800","3500","31","25"
"2026-08-23T03:18:44.9707045-04:00","4","0","warmup","2000","100","V4","4","2026/08/23 03:18:44.955","NVIDIA GeForce GTX 1650","573.22","64","18.03","1800","3500","31","25"
"2026-08-23T03:18:45.2605517-04:00","4","0","warmup","2000","100","V4","4","2026/08/23 03:18:45.245","NVIDIA GeForce GTX 1650","573.22","64","18.03","1800","3500","31","25"
"2026-08-23T03:18:45.5387421-04:00","4","0","warmup","2000","100","V4","4","2026/08/23 03:18:45.525","NVIDIA GeForce GTX 1650","573.22","65","18.43","1800","3500","1","0"
