"sequence","protocol_repeat","stage","n","kappa","requested_variant","launch_position","protocol_seed","raw_row_index","started_at","process_wall_ms","status","failure"
"0","0","warmup","2000","100","V4","0","42","0","2026-08-14T18:28:02.2273698-04:00","1363.642","ok",""
"1","0","warmup","2000","100","V6c","1","42","1","2026-08-14T18:28:03.7616913-04:00","1314.126","ok",""
"2","0","warmup","2000","100","V6e","2","42","2","2026-08-14T18:28:05.1132820-04:00","1476.017","ok",""
"3","0","warmup","2000","100","V5c","3","42","3","2026-08-14T18:28:06.6448674-04:00","1316.556","ok",""
"4","0","warmup","2000","10000","V4","0","42","4","2026-08-14T18:28:08.0152020-04:00","1293.952","ok",""
"5","0","warmup","2000","10000","V6c","1","42","5","2026-08-14T18:28:09.3737327-04:00","1543.625","ok",""
"6","0","warmup","2000","10000","V6e","2","42","6","2026-08-14T18:28:10.9487261-04:00","1508.152","ok",""
"7","0","warmup","2000","10000","V5c","3","42","7","2026-08-14T18:28:12.5017336-04:00","1494.069","ok",""
"8","0","warmup","2000","1000000","V4","0","42","8","2026-08-14T18:28:14.0424015-04:00","1558.156","ok",""
"9","0","warmup","2000","1000000","V6c","1","42","9","2026-08-14T18:28:15.6478173-04:00","1484.945","ok",""
"10","0","warmup","2000","1000000","V6e","2","42","10","2026-08-14T18:28:17.1722966-04:00","1546.935","ok",""
"11","0","warmup","2000","1000000","V5c","3","42","11","2026-08-14T18:28:18.7743626-04:00","1536.31","ok",""
"12","0","warmup","4096","100","V4","0","42","12","2026-08-14T18:28:20.3570183-04:00","5848.775","ok",""
"13","0","warmup","4096","100","V6c","1","42","13","2026-08-14T18:28:26.2646432-04:00","6091.102","ok",""
"14","0","warmup","4096","100","V6e","2","42","14","2026-08-14T18:28:32.4031700-04:00","6298.357","ok",""
"15","0","warmup","4096","100","V5c","3","42","15","2026-08-14T18:28:38.7587697-04:00","6245.06","ok",""
"16","0","warmup","4096","10000","V4","0","42","16","2026-08-14T18:28:45.0630291-04:00","5916.938","ok",""
"17","0","warmup","4096","10000","V6c","1","42","17","2026-08-14T18:28:51.0586315-04:00","5988.114","ok",""
"18","0","warmup","4096","10000","V6e","2","42","18","2026-08-14T18:28:57.1024925-04:00","6481.398","ok",""
"19","0","warmup","4096","10000","V5c","3","42","19","2026-08-14T18:29:03.6423224-04:00","6196.008","ok",""
"20","0","warmup","4096","1000000","V4","0","42","20","2026-08-14T18:29:09.8845549-04:00","5870.495","ok",""
"21","0","warmup","4096","1000000","V6c","1","42","21","2026-08-14T18:29:15.8304469-04:00","5874.931","ok",""
"22","0","warmup","4096","1000000","V6e","2","42","22","2026-08-14T18:29:21.7699748-04:00","6151.551","ok",""
"23","0","warmup","4096","1000000","V5c","3","42","23","2026-08-14T18:29:27.9805898-04:00","6297.624","ok",""
"24","0","warmup","6000","100","V4","0","42","24","2026-08-14T18:29:34.3349789-04:00","9150.156","ok",""
"25","0","warmup","6000","100","V6c","1","42","25","2026-08-14T18:29:43.5317120-04:00","13605.936","ok",""
"26","0","warmup","6000","100","V6e","2","42","26","2026-08-14T18:29:57.2440629-04:00","11093.06","ok",""
"27","0","warmup","6000","100","V5c","3","42","27","2026-08-14T18:30:08.3896876-04:00","10023.839","ok",""
"28","0","warmup","6000","10000","V4","0","42","28","2026-08-14T18:30:18.4760100-04:00","9729.661","ok",""
"29","0","warmup","6000","10000","V6c","1","42","29","2026-08-14T18:30:28.2562510-04:00","10568.695","ok",""
"30","0","warmup","6000","10000","V6e","2","42","30","2026-08-14T18:30:38.9079407-04:00","14275.442","ok",""
"31","0","warmup","6000","10000","V5c","3","42","31","2026-08-14T18:30:53.2854798-04:00","12351.64","ok",""
"32","0","warmup","6000","1000000","V4","0","42","32","2026-08-14T18:31:05.7038635-04:00","11604.992","ok",""
"33","0","warmup","6000","1000000","V6c","1","42","33","2026-08-14T18:31:17.3848198-04:00","14516.866","ok",""
"34","0","warmup","6000","1000000","V6e","2","42","34","2026-08-14T18:31:31.9802005-04:00","13135.422","ok",""
"35","0","warmup","6000","1000000","V5c","3","42","35","2026-08-14T18:31:45.2203372-04:00","14303.051","ok",""
"36","0","warmup","8000","100","V4","0","42","36","2026-08-14T18:31:59.5981157-04:00","25841.469","ok",""
"37","0","warmup","8000","100","V6c","1","42","37","2026-08-14T18:32:25.6194565-04:00","27301.401","ok",""
"38","0","warmup","8000","100","V6e","2","42","38","2026-08-14T18:32:53.0145788-04:00","24222.248","ok",""
"39","0","warmup","8000","100","V5c","3","42","39","2026-08-14T18:33:17.2868819-04:00","19669.885","ok",""
"40","0","warmup","8000","10000","V4","0","42","40","2026-08-14T18:33:37.0392207-04:00","19987.742","ok",""
"41","0","warmup","8000","10000","V6c","1","42","41","2026-08-14T18:33:57.1232364-04:00","24052.195","ok",""
"42","0","warmup","8000","10000","V6e","2","42","42","2026-08-14T18:34:21.2485800-04:00","21738.351","ok",""
"43","0","warmup","8000","10000","V5c","3","42","43","2026-08-14T18:34:43.0818053-04:00","20577.836","ok",""
