"variant","observed_variant","n","kappa","repeats_of_record","median_gpu_ms","q1_gpu_ms","q3_gpu_ms","iqr_gpu_ms","min_residual_norm2","max_residual_norm2","min_solution_error_norm2","max_solution_error_norm2"
"V4","V4","2000","100","6","38.24415","36.55985","40.06195","3.5021","1.18011E-08","1.24877E-08","4.06665E-06","5.25079E-06"
"V5c","V5c_b64","2000","100","6","123.912","111.00625","128.17925","17.173","1.15749E-08","1.22532E-08","3.90393E-06","5.00368E-06"
"V6c","V6c_b64","2000","100","6","116.119","112.86575","123.45","10.58425","1.15426E-08","1.22299E-08","3.90597E-06","5.00344E-06"
"V6e","V6e_b64","2000","100","6","103.9745","103.1085","104.56675","1.45825","1.15426E-08","1.22299E-08","3.90597E-06","5.00344E-06"
"V4","V4","2000","10000","6","36.5972","35.08525","37.467375","2.382125","1.12005E-08","1.24268E-08","0.000303669","0.000380215"
"V5c","V5c_b64","2000","10000","6","135.4945","124.56875","145.92975","21.361","1.07303E-08","1.24178E-08","0.000257255","0.000354395"
"V6c","V6c_b64","2000","10000","6","104.455","96.303375","121.3775","25.074125","1.06657E-08","1.24061E-08","0.000257256","0.000354394"
"V6e","V6e_b64","2000","10000","6","106.259","103.68725","108.152","4.46475","1.06657E-08","1.24061E-08","0.000257256","0.000354394"
"V4","V4","2000","1000000","6","37.60925","36.4081","39.457725","3.049625","1.05197E-08","1.2553E-08","0.0186273","0.0260128"
"V5c","V5c_b64","2000","1000000","6","119.689","105.55725","123.77525","18.218","1.03662E-08","1.19497E-08","0.0165134","0.023792"
"V6c","V6c_b64","2000","1000000","6","128.5145","116.0655","140.57425","24.50875","1.04315E-08","1.21112E-08","0.0165134","0.023792"
"V6e","V6e_b64","2000","1000000","6","104.072","103.26025","104.748","1.48775","1.04315E-08","1.21112E-08","0.0165134","0.023792"
"V4","V4","4096","100","6","83.113","82.6658","86.76615","4.10035","7.85662E-09","8.36859E-09","3.10829E-06","4.35987E-06"
"V5c","V5c_b64","4096","100","6","422.0765","408.91","435.85275","26.94275","7.84615E-09","8.36242E-09","2.88596E-06","3.96768E-06"
"V6c","V6c_b64","4096","100","6","261.492","240.769","269.711","28.942","7.84329E-09","8.38742E-09","2.88541E-06","3.96797E-06"
"V6e","V6e_b64","4096","100","6","300.349","293.20775","320.832","27.62425","7.84329E-09","8.38742E-09","2.88541E-06","3.96797E-06"
"V4","V4","4096","10000","6","84.82395","83.785725","88.23915","4.453425","7.50654E-09","8.48185E-09","0.000257272","0.000326133"
"V5c","V5c_b64","4096","10000","6","417.9275","396.30625","441.84975","45.5435","7.4818E-09","8.36736E-09","0.000218351","0.000292645"
"V6c","V6c_b64","4096","10000","6","237.522","232.56","259.27275","26.71275","7.48054E-09","8.37432E-09","0.000218352","0.000292648"
"V6e","V6e_b64","4096","10000","6","320.986","313.00425","322.3565","9.35225","7.48054E-09","8.37432E-09","0.000218352","0.000292648"
"V4","V4","4096","1000000","6","83.1354","82.35005","84.920275","2.570225","7.27669E-09","8.11983E-09","0.0183911","0.0230555"
"V5c","V5c_b64","4096","1000000","6","404.0855","402.42","411.7525","9.3325","7.39159E-09","8.30734E-09","0.0169306","0.0231855"
"V6c","V6c_b64","4096","1000000","6","234.6285","228.43675","262.56425","34.1275","7.43077E-09","8.319E-09","0.0169306","0.0231855"
"V6e","V6e_b64","4096","1000000","6","315.084","310.53825","321.885","11.34675","7.43077E-09","8.319E-09","0.0169306","0.0231855"
"V4","V4","6000","100","6","176.9685","169.8615","184.0755","14.214","6.26696E-09","7.14561E-09","2.73575E-06","3.9516E-06"
"V5c","V5c_b64","6000","100","6","885.931","864.644","901.0665","36.4225","6.2711E-09","7.0911E-09","2.43904E-06","3.57449E-06"
"V6c","V6c_b64","6000","100","6","438.9555","429.2","443.96725","14.76725","6.2711E-09","7.11409E-09","2.43888E-06","3.57426E-06"
"V6e","V6e_b64","6000","100","6","684.9415","678.4095","693.43475","15.02525","6.2711E-09","7.11409E-09","2.43888E-06","3.57426E-06"
"V4","V4","6000","10000","6","178.2055","172.26675","182.7425","10.47575","6.37359E-09","6.98132E-09","0.000244051","0.000334603"
"V5c","V5c_b64","6000","10000","6","884.5875","862.01025","921.8385","59.82825","6.16502E-09","6.88084E-09","0.00020821","0.00029746"
"V6c","V6c_b64","6000","10000","6","426.5505","411.97425","435.65175","23.6775","6.1625E-09","6.88765E-09","0.000208211","0.00029746"
"V6e","V6e_b64","6000","10000","6","674.959","673.696","687.3655","13.6695","6.1625E-09","6.88765E-09","0.000208211","0.00029746"
"V4","V4","6000","1000000","6","176.4785","169.514","177.68225","8.16825","6.00093E-09","6.93165E-09","0.019834","0.0230519"
"V5c","V5c_b64","6000","1000000","6","875.284","856.332","893.237","36.905","6.39218E-09","6.98709E-09","0.0169495","0.0207349"
"V6c","V6c_b64","6000","1000000","6","412.8615","407.2175","452.02","44.8025","6.37582E-09","6.99029E-09","0.0169495","0.0207349"
