"captured_at","sequence","protocol_repeat","stage","n","kappa","requested_variant","launch_position","gpu_timestamp","gpu_name","driver_version","temperature_c","power_w","sm_clock_mhz","memory_clock_mhz","gpu_utilization_pct","memory_utilization_pct"
"2026-08-14T18:28:02.3821081-04:00","0","0","warmup","2000","100","V4","0","2026/08/14 18:28:02.360","NVIDIA GeForce GTX 1650","573.22","57","4.29","300","405","0","0"
"2026-08-14T18:28:02.7172716-04:00","0","0","warmup","2000","100","V4","0","2026/08/14 18:28:02.690","NVIDIA GeForce GTX 1650","573.22","57","4.23","300","405","0","0"
"2026-08-14T18:28:03.0242839-04:00","0","0","warmup","2000","100","V4","0","2026/08/14 18:28:03.007","NVIDIA GeForce GTX 1650","573.22","57","4.27","300","405","0","0"
"2026-08-14T18:28:03.3113366-04:00","0","0","warmup","2000","100","V4","0","2026/08/14 18:28:03.291","NVIDIA GeForce GTX 1650","573.22","57","9.81","1020","3500","0","0"
"2026-08-14T18:28:03.8573741-04:00","1","0","warmup","2000","100","V6c","1","2026/08/14 18:28:03.841","NVIDIA GeForce GTX 1650","573.22","58","12.18","1020","3500","0","0"
"2026-08-14T18:28:04.1593570-04:00","1","0","warmup","2000","100","V6c","1","2026/08/14 18:28:04.139","NVIDIA GeForce GTX 1650","573.22","58","12.19","1020","3500","5","0"
"2026-08-14T18:28:04.4417851-04:00","1","0","warmup","2000","100","V6c","1","2026/08/14 18:28:04.425","NVIDIA GeForce GTX 1650","573.22","58","12.18","1020","3500","5","0"
"2026-08-14T18:28:04.7141636-04:00","1","0","warmup","2000","100","V6c","1","2026/08/14 18:28:04.708","NVIDIA GeForce GTX 1650","573.22","58","12.30","1020","3500","5","0"
"2026-08-14T18:28:05.1948878-04:00","2","0","warmup","2000","100","V6e","2","2026/08/14 18:28:05.193","NVIDIA GeForce GTX 1650","573.22","58","12.18","1020","3500","5","1"
"2026-08-14T18:28:05.5106144-04:00","2","0","warmup","2000","100","V6e","2","2026/08/14 18:28:05.494","NVIDIA GeForce GTX 1650","573.22","58","12.15","1020","3500","5","1"
"2026-08-14T18:28:05.7955411-04:00","2","0","warmup","2000","100","V6e","2","2026/08/14 18:28:05.780","NVIDIA GeForce GTX 1650","573.22","58","12.18","1020","3500","5","1"
"2026-08-14T18:28:06.0801508-04:00","2","0","warmup","2000","100","V6e","2","2026/08/14 18:28:06.064","NVIDIA GeForce GTX 1650","573.22","58","12.18","1020","3500","5","1"
"2026-08-14T18:28:06.3794937-04:00","2","0","warmup","2000","100","V6e","2","2026/08/14 18:28:06.360","NVIDIA GeForce GTX 1650","573.22","58","12.62","1260","3500","3","0"
"2026-08-14T18:28:06.7467308-04:00","3","0","warmup","2000","100","V5c","3","2026/08/14 18:28:06.743","NVIDIA GeForce GTX 1650","573.22","58","13.02","1260","3500","3","0"
"2026-08-14T18:28:07.0504138-04:00","3","0","warmup","2000","100","V5c","3","2026/08/14 18:28:07.020","NVIDIA GeForce GTX 1650","573.22","58","13.02","1260","3500","3","0"
"2026-08-14T18:28:07.3954830-04:00","3","0","warmup","2000","100","V5c","3","2026/08/14 18:28:07.376","NVIDIA GeForce GTX 1650","573.22","58","12.97","1260","3500","8","0"
"2026-08-14T18:28:07.7354275-04:00","3","0","warmup","2000","100","V5c","3","2026/08/14 18:28:07.672","NVIDIA GeForce GTX 1650","573.22","59","13.13","1260","3500","8","0"
"2026-08-14T18:28:08.1376138-04:00","4","0","warmup","2000","10000","V4","0","2026/08/14 18:28:08.118","NVIDIA GeForce GTX 1650","573.22","59","13.02","1020","3500","8","0"
