case_timestamp,run_index,n,variant,gpu_temp_c,power_w,graphics_clock_mhz,mem_clock_mhz
2026-07-06T19:21:42,0,2000,V4,58,4.12,300,405
2026-07-06T19:21:44,0,2000,V6c,59,12.24,1020,3500
2026-07-06T19:21:45,0,2000,V6e,59,12.34,1020,3500
2026-07-06T19:21:46,0,2000,V5c,59,12.27,1020,3500
2026-07-06T19:21:47,0,4096,V4,60,12.37,1020,3500
2026-07-06T19:21:49,0,4096,V6c,60,12.34,1020,3500
2026-07-06T19:21:52,0,4096,V6e,60,13.02,1230,3500
2026-07-06T19:21:54,0,4096,V5c,61,17.94,1815,3500
2026-07-06T19:21:56,0,6000,V4,62,18.21,1815,3500
2026-07-06T19:22:01,0,6000,V6c,61,17.93,1815,3500
2026-07-06T19:22:05,0,6000,V6e,62,17.92,1800,3500
2026-07-06T19:22:09,0,6000,V5c,62,18.04,1800,3500
2026-07-06T19:22:14,0,8000,V4,63,18.22,1800,3500
2026-07-06T19:22:20,0,8000,V6c,62,17.96,1800,3500
2026-07-06T19:22:28,0,8000,V6e,62,18.24,1800,3500
2026-07-06T19:22:36,0,8000,V5c,63,18.10,1800,3500
2026-07-06T19:22:44,1,2000,V6c,63,18.18,1800,3500
2026-07-06T19:22:45,1,2000,V6e,62,12.49,1020,3500
2026-07-06T19:22:46,1,2000,V5c,62,12.75,1155,3500
2026-07-06T19:22:48,1,2000,V4,62,12.89,1155,3500
2026-07-06T19:22:49,1,4096,V6c,62,12.41,1020,3500
2026-07-06T19:22:51,1,4096,V6e,62,12.49,1020,3500
2026-07-06T19:22:53,1,4096,V5c,63,18.23,1800,3500
2026-07-06T19:22:56,1,4096,V4,64,18.21,1800,3500
2026-07-06T19:22:58,1,6000,V6c,63,12.52,1020,3500
2026-07-06T19:23:02,1,6000,V6e,63,16.51,1695,3500
2026-07-06T19:23:07,1,6000,V5c,63,18.23,1800,3500
2026-07-06T19:23:11,1,6000,V4,64,18.30,1800,3500
2026-07-06T19:23:15,1,8000,V6c,64,17.69,1770,3500
2026-07-06T19:23:21,1,8000,V6e,64,18.24,1800,3500
2026-07-06T19:23:29,1,8000,V5c,64,18.16,1800,3500
2026-07-06T19:23:36,1,8000,V4,65,18.45,1800,3500
2026-07-06T19:23:43,2,2000,V6e,64,18.26,1800,3500
2026-07-06T19:23:44,2,2000,V5c,64,16.64,1320,3500
2026-07-06T19:23:45,2,2000,V4,63,12.50,1020,3500
2026-07-06T19:23:46,2,2000,V6c,63,12.49,1020,3500
2026-07-06T19:23:47,2,4096,V6e,63,12.48,1020,3500
2026-07-06T19:23:49,2,4096,V5c,64,18.19,1800,3500
2026-07-06T19:23:52,2,4096,V4,65,18.48,1800,3500
2026-07-06T19:23:53,2,4096,V6c,64,12.85,1095,3500
2026-07-06T19:23:55,2,6000,V6e,64,12.53,1020,3500
2026-07-06T19:24:00,2,6000,V5c,65,18.28,1800,3500
2026-07-06T19:24:04,2,6000,V4,65,18.22,1800,3500
2026-07-06T19:24:07,2,6000,V6c,64,13.69,1335,3500
2026-07-06T19:24:11,2,8000,V6e,65,18.29,1800,3500
2026-07-06T19:24:17,2,8000,V5c,65,18.29,1800,3500
2026-07-06T19:24:24,2,8000,V4,65,18.42,1800,3500
2026-07-06T19:24:30,2,8000,V6c,65,18.36,1800,3500
2026-07-06T19:24:36,3,2000,V5c,65,18.41,1800,3500
2026-07-06T19:24:37,3,2000,V4,65,18.38,1800,3500
2026-07-06T19:24:38,3,2000,V6c,64,12.57,1020,3500
2026-07-06T19:24:39,3,2000,V6e,64,12.56,1020,3500
2026-07-06T19:24:40,3,4096,V5c,64,13.29,1260,3500
2026-07-06T19:24:42,3,4096,V4,65,18.26,1800,3500
2026-07-06T19:24:44,3,4096,V6c,65,12.63,1020,3500
2026-07-06T19:24:46,3,4096,V6e,64,12.56,1020,3500
2026-07-06T19:24:48,3,6000,V5c,65,18.34,1800,3500
2026-07-06T19:24:52,3,6000,V4,65,18.38,1800,3500
2026-07-06T19:24:55,3,6000,V6c,65,18.20,1800,3500
2026-07-06T19:25:00,3,6000,V6e,65,18.54,1800,3500
2026-07-06T19:25:04,3,8000,V5c,65,18.36,1800,3500
2026-07-06T19:25:11,3,8000,V4,66,18.37,1800,3500
2026-07-06T19:25:17,3,8000,V6c,65,18.23,1800,3500
2026-07-06T19:25:23,3,8000,V6e,65,18.36,1800,3500
2026-07-06T19:25:29,4,2000,V4,65,18.31,1800,3500
2026-07-06T19:25:30,4,2000,V6c,65,18.30,1800,3500
2026-07-06T19:25:31,4,2000,V6e,64,12.52,1020,3500
2026-07-06T19:25:32,4,2000,V5c,64,13.54,1320,3500
2026-07-06T19:25:33,4,4096,V4,64,13.59,1320,3500
2026-07-06T19:25:35,4,4096,V6c,63,12.48,1020,3500
2026-07-06T19:25:37,4,4096,V6e,64,13.96,1395,3500
2026-07-06T19:25:39,4,4096,V5c,64,18.27,1800,3500
2026-07-06T19:25:41,4,6000,V4,66,18.21,1800,3500
2026-07-06T19:25:45,4,6000,V6c,64,13.56,1320,3500
2026-07-06T19:25:48,4,6000,V6e,64,18.33,1800,3500
2026-07-06T19:25:52,4,6000,V5c,64,18.23,1800,3500
2026-07-06T19:25:56,4,8000,V4,65,18.38,1800,3500
2026-07-06T19:26:02,4,8000,V6c,64,18.09,1800,3500
2026-07-06T19:26:07,4,8000,V6e,64,18.36,1800,3500
2026-07-06T19:26:14,4,8000,V5c,64,18.06,1800,3500
