timestamp,variant,n,block_size,precision,pivoting,cpu_ms,gpu_ms,effective_gflops,residual_norm2,residual_max,solution_error_norm2,solution_error_max,pivot_ms,row_swap_ms,factor_ms,update_ms,back_sub_ms,pivot_pct,row_swap_pct,factor_pct,update_pct,back_sub_pct,driver_version
2026-08-05T00:28:53,V2,500,512,FP32,ordinary_partial_pivoting_parallel_pivot_swap,30.8439,144.438,0.576949,2.34702e-08,0.000492908,5.44005e-07,1.88546e-06,5.82902,5.31699,5.69546,124.537,3.05898,4.03566,3.68116,3.94319,86.2221,2.11785,12.8
2026-08-05T00:28:53,V2,1000,512,FP32,ordinary_partial_pivoting_parallel_pivot_swap,264.873,499.447,1.33481,2.13321e-08,0.00117898,6.96461e-07,2.36519e-06,11.3605,10.6784,11.3937,455.089,10.9248,2.27462,2.13804,2.28127,91.1187,2.18739,12.8
2026-08-10T01:59:13,V2,500,512,FP32,ordinary_partial_pivoting_parallel_pivot_swap,36.3523,154.614,0.538976,2.34702e-08,0.000492908,5.44005e-07,1.88546e-06,9.12115,6.42125,9.88019,126.022,3.17002,5.89929,4.15307,6.39022,81.5071,2.05027,12.8
2026-08-10T01:59:14,V2,1000,512,FP32,ordinary_partial_pivoting_parallel_pivot_swap,385.8,573.463,1.16253,2.13321e-08,0.00117898,6.96461e-07,2.36519e-06,14.7628,13.6177,15.9592,518.108,11.0145,2.57432,2.37465,2.78295,90.3474,1.9207,12.8
2026-08-10T02:00:08,V1,500,512,FP32,ordinary_partial_pivoting,40.1291,126.924,0.656561,2.34702e-08,0.000492908,5.44005e-07,1.88546e-06,0,0,0,0,0,0,0,0,0,0,12.8
2026-08-10T02:00:09,V1,1000,512,FP32,ordinary_partial_pivoting,320.705,502.768,1.32599,2.13321e-08,0.00117898,6.96461e-07,2.36519e-06,0,0,0,0,0,0,0,0,0,0,12.8
2026-08-10T02:02:12,V3,500,512,FP32,ordinary_partial_pivoting_parallel_pivot_swap,62.1899,35.5502,2.3441,2.34702e-08,0.000492908,5.44005e-07,1.88546e-06,8.30893,7.05597,7.6367,9.39261,3.15597,23.3724,19.8479,21.4815,26.4207,8.8775,12.8
2026-08-10T02:02:13,V3,1000,512,FP32,ordinary_partial_pivoting_parallel_pivot_swap,326.603,113.466,5.87547,2.13321e-08,0.00117898,6.96461e-07,2.36519e-06,17.063,15.7544,19.2348,45.2924,16.1217,15.038,13.8846,16.952,39.9171,14.2084,12.8
2026-08-10T02:03:30,V4,500,512,FP32,ordinary_partial_pivoting_cusolver_getrf,39.5215,41.7137,1.99775,2.11814e-08,0.00044237,4.8798e-07,1.66949e-06,0,0,0,0,0,0,0,0,0,0,12.8
2026-08-10T02:03:30,V4,1000,512,FP32,ordinary_partial_pivoting_cusolver_getrf,338.98,33.5322,19.8814,1.39404e-08,0.000596703,4.55335e-07,1.19892e-06,0,0,0,0,0,0,0,0,0,0,12.8
