
 ** CUDA Kernel Launch & Exec Time Summary (cuda_kern_exec_sum):

  PID    TID   DevId  Count  QCount  TAvg (ns)  TMed (ns)  TMin (ns)  TMax (ns)  TStdDev (ns)  AAvg (ns)  AMed (ns)  AMin (ns)  AMax (ns)  AStdDev (ns)  QAvg (ns)  QMed (ns)  QMin (ns)  QMax (ns)  QStdDev (ns)  KAvg (ns)  KMed (ns)  KMin (ns)  KMax (ns)  KStdDev (ns)      API Name                                                  Kernel Name
 -----  -----  -----  -----  ------  ---------  ---------  ---------  ---------  ------------  ---------  ---------  ---------  ---------  ------------  ---------  ---------  ---------  ---------  ------------  ---------  ---------  ---------  ---------  ------------  ----------------  ----------------------------------------------------------------------------------------------------
 59532  59628      0      1       0  3477409.0  3477409.0    3477409    3477409           0.0  3477409.0  3477409.0    3477409    3477409           0.0  None       None       None       None                0.0     1505.0     1505.0       1505       1505           0.0  cudaLaunchKernel  dtrsv_init(int *)
 59532  59628      0      1       0  1256827.0  1256827.0    1256827    1256827           0.0   837068.0   837068.0     837068     837068           0.0  None       None       None       None                0.0   490912.0   490912.0     490912     490912           0.0  cudaLaunchKernel  void trsv_ln_exec_up<float, (unsigned int)32, (unsigned int)32, (unsigned int)4, (bool)0>(int, cons?
 59532  59628      0      1       0  1222026.0  1222026.0    1222026    1222026           0.0   830239.0   830239.0     830239     830239           0.0  None       None       None       None                0.0   470848.0   470848.0     470848     470848           0.0  cudaLaunchKernel  void trsv_ln_exec<float, (unsigned int)32, (unsigned int)32, (unsigned int)4, (bool)1>(int, const T?
 59532  59628      0     28       1  1002052.4   872706.0     165783    2472175      633376.3   205380.8   170600.5     114906     673743      111090.1  19435.0    19435.0    19435      19435               0.0   877516.2   773936.0      78368    1986498      597485.7  cudaLaunchKernel  volta_sgemm_128x64_nn
 59532  59628      0     34       0   682443.1   424308.5     162978    2056735      557881.8   235436.4   205335.0     139731     627439      101397.2  None       None       None       None                0.0   522108.5   283264.5      10144    1838818      564234.8  cudaLaunchKernel  volta_sgemm_128x32_nn
 59532  59628      0      1       0   517232.0   517232.0     517232     517232           0.0   517232.0   517232.0     517232     517232           0.0  None       None       None       None                0.0     1888.0     1888.0       1888       1888           0.0  cudaLaunchKernel  dtrsv_init_up(int *, int)
 59532  59628      0     63       0   319816.3   177107.0     116993    8322331     1026416.4   309124.3   167975.0     102131    8292606     1024214.5  None       None       None       None                0.0    62845.6    62273.0       7456     119904       33553.6  cudaLaunchKernel  void kernel_trsm_l_mul32<float, (int)8, (bool)0, (bool)0, (bool)0, (bool)1>(int, int, const T1 *, c?
 59532  59628      0      1       0   189704.0   189704.0     189704     189704           0.0   189704.0   189704.0     189704     189704           0.0  None       None       None       None                0.0     8832.0     8832.0       8832       8832           0.0  cudaLaunchKernel  volta_sgemm_64x32_sliced1x4_nn
 59532  59628      0   4096     168   185560.2   135636.5      62818    3206724      181473.1   160905.3   132291.0      46076    2349003       89654.2  593328.0   461231.0   10310      3135064        569451.4     6052.0     6048.0       3744      12191        1320.4  cudaLaunchKernel  find_pivot_check_swap_rhs_and_rows_col_major_v6c_kernel(float *, float *, int, int, float, int *)
 59532  59628      0   4032     132   183215.2   136261.0      62987    3283260      166669.6   164328.3   133194.5      45226    2018356       91816.5  563083.5   443902.0   2643       3088618        550844.6     6247.8     5120.0       1792      26848        3740.9  cudaLaunchKernel  update_panel_v6_kernel(float *, int, int, int, const int *)
 59532  59628      0   4095     146   180041.6   132784.0      62881    3238778      172684.2   158824.0   130453.0      45744    2901736       87863.1  593114.2   483916.0   2004       3163100        589052.3     1963.0     1952.0       1855       2368          35.6  cudaLaunchKernel  compute_panel_multipliers_v6_kernel(float *, int, int, const int *)
