
 ** CUDA Kernel Launch & Exec Time Summary (cuda_kern_exec_sum):

  PID    TID   DevId  Count  QCount  TAvg (ns)  TMed (ns)  TMin (ns)  TMax (ns)  TStdDev (ns)  AAvg (ns)  AMed (ns)  AMin (ns)  AMax (ns)  AStdDev (ns)  QAvg (ns)  QMed (ns)  QMin (ns)  QMax (ns)  QStdDev (ns)  KAvg (ns)  KMed (ns)  KMin (ns)  KMax (ns)  KStdDev (ns)      API Name                                                  Kernel Name
 -----  -----  -----  -----  ------  ---------  ---------  ---------  ---------  ------------  ---------  ---------  ---------  ---------  ------------  ---------  ---------  ---------  ---------  ------------  ---------  ---------  ---------  ---------  ------------  ----------------  ----------------------------------------------------------------------------------------------------
 58972  30172      0      1       0  2274741.0  2274741.0    2274741    2274741           0.0  2274741.0  2274741.0    2274741    2274741           0.0       None       None       None       None           0.0     1440.0     1440.0       1440       1440           0.0  cudaLaunchKernel  dtrsv_init(int *)
 58972  30172      0     28      21  1138235.0   814581.5      95790    4633570     1129792.1    23397.0    19486.5      14757      50700        9599.7   318050.3    34074.0        468    2934936      805383.4   876680.4   770607.5      77567    1987006      597375.5  cudaLaunchKernel  volta_sgemm_128x64_nn
 58972  30172      0      1       1   931711.0   931711.0     931711     931711           0.0   103677.0   103677.0     103677     103677           0.0   336739.0   336739.0     336739     336739           0.0   491295.0   491295.0     491295     491295           0.0  cudaLaunchKernel  void trsv_ln_exec_up<float, (unsigned int)32, (unsigned int)32, (unsigned int)4, (bool)0>(int, cons?
 58972  30172      0     34      20   647122.0   330387.0      23905    4160008      860720.6    28852.2    22054.0      13903     118401       20598.7   166846.4     7548.5          0    2320296      535799.6   521971.2   282944.0      10048    1838622      564087.6  cudaLaunchKernel  volta_sgemm_128x32_nn
 58972  30172      0      1       1   562947.0   562947.0     562947     562947           0.0    80784.0    80784.0      80784      80784           0.0     1587.0     1587.0       1587       1587           0.0   480576.0   480576.0     480576     480576           0.0  cudaLaunchKernel  void trsv_ln_exec<float, (unsigned int)32, (unsigned int)32, (unsigned int)4, (bool)1>(int, const T?
 58972  30172      0   4096    3744   537565.2    37532.5      13809    5636768      882327.9    21586.2    11873.0       7042    1056101       33835.3   557983.2     2575.5          0    5620159      906493.3     6058.6     6048.0       3680      12096        1321.3  cudaLaunchKernel  find_pivot_check_swap_rhs_and_rows_col_major_v6c_kernel(float *, float *, int, int, float, int *)
 58972  30172      0   4032    3752   534908.9    34208.0      12121    5629620      882336.0    20438.3    11504.0       7045     432623       28340.2   546254.3     2589.5          2    5616457      900195.9     6234.3     5104.0       1792      27264        3728.7  cudaLaunchKernel  update_panel_v6_kernel(float *, int, int, int, const int *)
 58972  30172      0   4095    3763   528786.7    32021.0      11013    5631884      878969.7    20999.1    11648.0       7076     549730       30748.2   550531.0     2491.0          0    5621699      902264.9     1961.2     1952.0       1856       2400          36.8  cudaLaunchKernel  compute_panel_multipliers_v6_kernel(float *, int, int, const int *)
 58972  30172      0      1       1   476635.0   476635.0     476635     476635           0.0    44593.0    44593.0      44593      44593           0.0   430186.0   430186.0     430186     430186           0.0     1856.0     1856.0       1856       1856           0.0  cudaLaunchKernel  dtrsv_init_up(int *, int)
 58972  30172      0     63      44   341285.3    79386.0      22961    6841627     1017758.9   131981.9    16209.0       9437    6727477      844839.1   210474.8     1275.5         69    2892625      663071.0    62808.4    62433.0       7616     119744       33505.4  cudaLaunchKernel  void kernel_trsm_l_mul32<float, (int)8, (bool)0, (bool)0, (bool)0, (bool)1>(int, int, const T1 *, c?
 58972  30172      0      1       0    48092.0    48092.0      48092      48092           0.0    45467.0    45467.0      45467      45467           0.0       None       None       None       None           0.0     8992.0     8992.0       8992       8992           0.0  cudaLaunchKernel  volta_sgemm_64x32_sliced1x4_nn
