
 ** WDDM Queue Utilization Summary (wddm_queue_sum):

 Utilization (%)  Instances   Avg (ns)    Med (ns)   Min (ns)  Max (ns)   StdDev (ns)  Name   Q Type  Q Name   PID   GPU ID      Context      Engine  Node Ord
 ---------------  ---------  ----------  ----------  --------  ---------  -----------  -----  ------  ------  -----  ------  ---------------  ------  --------
            71.4      12536    239571.5    158850.0     66100   17959300     325061.6  3D          0  queue   59532       0  -45572922318080       1         0
            71.4      12536    239571.5    158850.0     66100   17959300     325061.6  3D          0  queue   59532       0  -45572922318080       1         0
            43.0       1683   5715000.7   5915400.0     89800  516387200   21746844.2  3D          0  queue   51612       1  -26887570481696       1         0
            38.2       1099   3574798.5   5569000.0     27300   11913400    3414959.5  3D          0  queue    2008       1  -26889231897136       1         0
            36.0        549   6540113.3   6403900.0   5604200   10802100     562999.2  3D          1  dma      2008       1  -26889231897136       1         0
            34.7       1166   2992969.6    926000.0    237700   16891100    2818604.1  3D          1  dma     51612       1  -26887570481696       1         0
             5.0          4    786300.0    788300.0    699100     869500      72962.5  3D          0  queue    1424       1  -26889244742208       1         0
             4.2          2    709800.0    709800.0    670100     749500      56144.3  3D          1  dma      1424       1  -26889244742208       1         0
             2.4        137    803847.4    712800.0    214200    3262500     508386.3  Copy        0  queue       4       0  -45573265225696       6         3
             2.4         41   5901658.5   6064800.0    595600   10708600    1634716.6  3D          0  queue    2008       1  -26889215394352       1         0
             2.2        192   3144977.6   3483700.0    128300    8141300    2150956.3  3D          0  queue   27848       1  -26888263726256       1         0
             1.7        137    476612.4    392900.0    115000    2956700     440704.9  Copy        1  dma         4       0  -45573265225696       6         3
             1.4        106    390017.9    324200.0    104300    2139500     337081.2  Copy        0  queue   59532       0  -45572766965008       6         4
             1.4        106    390017.9    324200.0    104300    2139500     337081.2  Copy        0  queue   59532       0  -45572766965008       6         4
             1.0        142    803727.5    510750.0    184200    6733200    1154334.0  3D          1  dma     27848       1  -26888263726256       1         0
             0.9        118    739920.3    631750.0     99300    5785300     755100.1  3D          1  dma         0       1  -45573292086320       1         0
             0.8          7  15152200.0  14124300.0    791300   28056700    9812252.7  3D          0  queue   15728       1  -26888918311456       1         0
             0.7          1  17438400.0  17438400.0  17438400   17438400          0.0  3D          0  queue   59532       0  -45573213365696       1         0
             0.7          1  17438400.0  17438400.0  17438400   17438400          0.0  3D          0  queue   59532       0  -45573213365696       1         0
             0.7          1  17784400.0  17784400.0  17784400   17784400          0.0  3D          0  queue   59532       0  -45572917179216       1         0
             0.7          1  17784400.0  17784400.0  17784400   17784400          0.0  3D          0  queue   59532       0  -45572917179216       1         0
             0.7          1  17106000.0  17106000.0  17106000   17106000          0.0  3D          0  queue   59532       0  -45572669243184       1         0
             0.7          1  17106000.0  17106000.0  17106000   17106000          0.0  3D          0  queue   59532       0  -45572669243184       1         0
             0.7          1  17628600.0  17628600.0  17628600   17628600          0.0  3D          0  queue   59532       0  -45572669241072       1         0
             0.7          1  17628600.0  17628600.0  17628600   17628600          0.0  3D          0  queue   59532       0  -45572669241072       1         0
             0.7          1  17657100.0  17657100.0  17657100   17657100          0.0  3D          0  queue   59532       0  -45572064831376       1         0
             0.7          1  17657100.0  17657100.0  17657100   17657100          0.0  3D          0  queue   59532       0  -45572064831376       1         0
             0.7          1  17957600.0  17957600.0  17957600   17957600          0.0  3D          0  queue   59532       0  -45572064827152       1         0
             0.7          1  17957600.0  17957600.0  17957600   17957600          0.0  3D          0  queue   59532       0  -45572064827152       1         0
             0.7          1  17302900.0  17302900.0  17302900   17302900          0.0  3D          0  queue   59532       0  -45568264886640       1         0
             0.7          1  17302900.0  17302900.0  17302900   17302900          0.0  3D          0  queue   59532       0  -45568264886640       1         0
             0.5          6   4384666.7   4163900.0    575800    7772400    3019802.2  3D          1  dma     15728       1  -26888918311456       1         0
             0.3          6   4812300.0   4633650.0    116000   13004900    4577402.9  Other       0  queue   64516       1  -45573292147744       0        13
             0.1          8    256250.0    249450.0    118100     369200      89081.2  Copy        0  queue   59532       0  -45572064828032       6         5
             0.1          8    256250.0    249450.0    118100     369200      89081.2  Copy        0  queue   59532       0  -45572064828032       6         5
