timestamp,variant,n,block_size,precision,pivoting,cpu_ms,gpu_ms,effective_gflops,residual_norm2,residual_max,solution_error_norm2,solution_error_max,pivot_ms,row_swap_ms,factor_ms,update_ms,back_sub_ms,pivot_pct,row_swap_pct,factor_pct,update_pct,back_sub_pct,driver_version
2026-07-11T16:38:22,V6c_b32,512,512,FP32,ordinary_partial_pivoting_blocked_lu_cublas_fused_pivot_swap,-1,152.354,0.587306,1.29255e-08,0.000240385,3.04874e-07,8.97654e-07,0,0,0,0,0,0,0,0,0,0,12.8
2026-07-11T16:38:23,V6c_b64,512,512,FP32,ordinary_partial_pivoting_blocked_lu_cublas_fused_pivot_swap,-1,34.6162,2.58487,1.40586e-08,0.00021649,3.31279e-07,8.36539e-07,0,0,0,0,0,0,0,0,0,0,12.8
2026-07-11T16:38:23,V6c_b128,512,512,FP32,ordinary_partial_pivoting_blocked_lu_cublas_fused_pivot_swap,-1,36.4807,2.45276,1.51211e-08,0.000223264,3.56705e-07,8.87413e-07,0,0,0,0,0,0,0,0,0,0,12.8
2026-07-11T16:38:24,V6d_b64,512,512,FP32,ordinary_partial_pivoting_blocked_lu_cublas_adaptive_panel_fused_pivot_swap,-1,37.011,2.41762,1.40586e-08,0.00021649,3.31279e-07,8.36539e-07,0,0,0,0,0,0,0,0,0,0,12.8
2026-07-11T16:38:46,V6c_b32,1024,512,FP32,ordinary_partial_pivoting_blocked_lu_cublas_fused_pivot_swap,-1,83.1996,8.60375,1.34969e-08,0.00100019,4.44562e-07,1.89653e-06,0,0,0,0,0,0,0,0,0,0,12.8
2026-07-11T16:38:47,V6c_b64,1024,512,FP32,ordinary_partial_pivoting_blocked_lu_cublas_fused_pivot_swap,-1,94.1474,7.60327,1.37407e-08,0.000842726,4.52559e-07,1.59851e-06,0,0,0,0,0,0,0,0,0,0,12.8
2026-07-11T16:38:48,V6c_b128,1024,512,FP32,ordinary_partial_pivoting_blocked_lu_cublas_fused_pivot_swap,-1,61.8557,11.5725,1.40259e-08,0.000845765,4.62417e-07,1.59851e-06,0,0,0,0,0,0,0,0,0,0,12.8
2026-07-11T16:38:48,V6d_b64,1024,512,FP32,ordinary_partial_pivoting_blocked_lu_cublas_adaptive_panel_fused_pivot_swap,-1,69.8674,10.2455,1.37407e-08,0.000842726,4.52559e-07,1.59851e-06,0,0,0,0,0,0,0,0,0,0,12.8
2026-07-11T16:39:17,V6c_b32,2048,512,FP32,ordinary_partial_pivoting_blocked_lu_cublas_fused_pivot_swap,-1,173.254,33.0534,1.24371e-08,0.00139625,5.75599e-07,1.35312e-06,0,0,0,0,0,0,0,0,0,0,12.8
2026-07-11T16:39:18,V6c_b64,2048,512,FP32,ordinary_partial_pivoting_blocked_lu_cublas_fused_pivot_swap,-1,205.446,27.8741,1.24167e-08,0.0014079,5.74509e-07,1.36716e-06,0,0,0,0,0,0,0,0,0,0,12.8
2026-07-11T16:39:19,V6c_b128,2048,512,FP32,ordinary_partial_pivoting_blocked_lu_cublas_fused_pivot_swap,-1,179.121,31.9706,1.295e-08,0.00155742,5.99175e-07,1.49255e-06,0,0,0,0,0,0,0,0,0,0,12.8
2026-07-11T16:39:21,V6d_b32,2048,512,FP32,ordinary_partial_pivoting_blocked_lu_cublas_adaptive_panel_fused_pivot_swap,-1,137.364,41.6894,1.24371e-08,0.00139625,5.75599e-07,1.35312e-06,0,0,0,0,0,0,0,0,0,0,12.8
2026-07-11T16:39:58,V6c_b32,4096,512,FP32,ordinary_partial_pivoting_blocked_lu_cublas_fused_pivot_swap,-1,374.032,122.484,1.20338e-08,0.00467203,7.81903e-07,2.26553e-06,0,0,0,0,0,0,0,0,0,0,12.8
2026-07-11T16:40:01,V6c_b64,4096,512,FP32,ordinary_partial_pivoting_blocked_lu_cublas_fused_pivot_swap,-1,348.057,131.625,1.19957e-08,0.00529445,7.79712e-07,2.54399e-06,0,0,0,0,0,0,0,0,0,0,12.8
2026-07-11T16:40:03,V6c_b128,4096,512,FP32,ordinary_partial_pivoting_blocked_lu_cublas_fused_pivot_swap,-1,351.736,130.248,1.20742e-08,0.0056642,7.84721e-07,2.72281e-06,0,0,0,0,0,0,0,0,0,0,12.8
2026-07-11T16:40:05,V6d_b128,4096,512,FP32,ordinary_partial_pivoting_blocked_lu_cublas_adaptive_panel_fused_pivot_swap,-1,485.675,94.3285,1.20742e-08,0.0056642,7.84721e-07,2.72281e-06,0,0,0,0,0,0,0,0,0,0,12.8
2026-07-11T16:41:28,V6c_b32,6000,512,FP32,ordinary_partial_pivoting_blocked_lu_cublas_fused_pivot_swap,-1,829.45,173.609,1.35837e-08,0.00925672,1.06553e-06,3.07744e-06,0,0,0,0,0,0,0,0,0,0,12.8
2026-07-11T16:41:33,V6c_b64,6000,512,FP32,ordinary_partial_pivoting_blocked_lu_cublas_fused_pivot_swap,-1,710.064,202.799,1.34347e-08,0.00909099,1.05379e-06,3.01783e-06,0,0,0,0,0,0,0,0,0,0,12.8
2026-07-11T16:41:38,V6c_b128,6000,512,FP32,ordinary_partial_pivoting_blocked_lu_cublas_fused_pivot_swap,-1,763.58,188.585,1.34226e-08,0.0087572,1.05295e-06,2.89862e-06,0,0,0,0,0,0,0,0,0,0,12.8
2026-07-11T16:41:43,V6d_b64,6000,512,FP32,ordinary_partial_pivoting_blocked_lu_cublas_adaptive_panel_fused_pivot_swap,-1,688.846,209.045,1.34347e-08,0.00909099,1.05379e-06,3.01783e-06,0,0,0,0,0,0,0,0,0,0,12.8
2026-07-11T16:44:05,V6c_b32,8000,512,FP32,ordinary_partial_pivoting_blocked_lu_cublas_fused_pivot_swap,-1,1234.48,276.5,1.14688e-08,0.0102841,1.03751e-06,2.56946e-06,0,0,0,0,0,0,0,0,0,0,12.8
2026-07-11T16:44:13,V6c_b64,8000,512,FP32,ordinary_partial_pivoting_blocked_lu_cublas_fused_pivot_swap,-1,1008.28,338.531,1.14333e-08,0.0103811,1.03433e-06,2.59575e-06,0,0,0,0,0,0,0,0,0,0,12.8
2026-07-11T16:44:22,V6c_b128,8000,512,FP32,ordinary_partial_pivoting_blocked_lu_cublas_fused_pivot_swap,-1,1073.83,317.864,1.13961e-08,0.0108588,1.03095e-06,2.71496e-06,0,0,0,0,0,0,0,0,0,0,12.8
2026-07-11T16:44:31,V6d_b64,8000,512,FP32,ordinary_partial_pivoting_blocked_lu_cublas_adaptive_panel_fused_pivot_swap,-1,1165.5,292.864,1.14333e-08,0.0103811,1.03433e-06,2.59575e-06,0,0,0,0,0,0,0,0,0,0,12.8
